HH,EndPoint,C,E,M,V,OTH,FOLLOWUP
1011964,E5,,P+,,,,
1012814,E3,P+,P+,,P+,,
1013002,E2,,,,,N-,
1013665,E4,,,N-,,,
1014530,E1,P+,P+,,,,
1014854,E2,N-,,,,,
1014916,E1,P+,P+,,,,
1014991,E6,N-,,,,,
1015371,E6,,,N-,,,No Change
1015641,E5,,P+,,,,
1015755,E3,P+,P+,,,,
1016104,E5,,P+,,,,
1017045,E5,,,,,P+,
1017192,E4,N-,,,,,
1017982,E4,N-,,,,,
1019400,E1,,P+,,P+,,
1019631,E5,,P+,,,,
1019949,E4,N-,,,,,
1019959,E1,,P+,,,,
1020009,E3,P+,P+,,P+,,
1025329,E1,P+,P+,,,,
1026087,E4,N-,,,,,
1026795,E3,,P+,,,,
1027128,E3,,P+,,,,
1027990,E6,,,N-,,,No Change
1028060,E5,,P+,,,,
1028909,E1,P+,P+,,,,
1029026,E4,N-,,,,,
1029389,E5,,P+,,,,
1029767,E3,,P+,,,,
1029772,E2,N-,,,,,
1030271,E4,,,N-,,,
1031130,E1,,P+,,,,
1031827,E5,,P+,,,,
